protocol,ip_src,ip_dst,port_src,port_dst,packet_length,timestamp,ttl,label
TCP,192.168.100.20,192.168.100.10,55754,22,74,1771716356.301452,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,74,1771716356.301481,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,66,1771716356.301807,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,99,1771716356.302038,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,66,1771716356.302048,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,109,1771716356.36333,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,66,1771716356.363703,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,1634,1771716356.364878,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,66,1771716356.364894,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,1186,1771716356.366818,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,1274,1771716356.37536,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,1598,1771716356.392052,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,66,1771716356.392561,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,150,1771716365.571474,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,66,1771716365.626095,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,110,1771716365.626535,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,66,1771716365.626554,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,110,1771716365.626673,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,134,1771716365.627041,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,330,1771716365.627907,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,66,1771716365.678329,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,214,1771716375.679189,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,94,1771716375.69706,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,66,1771716375.697515,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,178,1771716375.698637,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,66,1771716375.89731,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,694,1771716376.317817,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,646,1771716376.321783,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,110,1771716376.321803,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,594,1771716376.322097,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,606,1771716376.326418,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,174,1771716376.327492,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,974,1771716376.32796,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,66,1771716376.329114,64,normal
